country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","24-11-2025 19:00:00",28.4706914,77.1099364,CO,40,104,52
India,Delhi,Delhi,"Bawana, Delhi - DPCC","24-11-2025 19:00:00",28.776200,77.051074,NO2,12,89,49
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD","24-11-2025 19:00:00",28.7256504,77.2011573,CO,8,128,33
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","24-11-2025 19:00:00",28.5512005,77.2735737,PM2.5,237,419,361
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","24-11-2025 19:00:00",28.5512005,77.2735737,NO2,14,152,40
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD","24-11-2025 19:00:00",28.5512005,77.2735737,OZONE,13,171,74
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","24-11-2025 19:00:00",28.656756,77.227234,PM2.5,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","24-11-2025 19:00:00",30.735567,76.775714,SO2,5,56,17
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","24-11-2025 19:00:00",30.735567,76.775714,CO,60,122,77
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","24-11-2025 19:00:00",30.751462,76.762879,NH3,6,11,7
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","24-11-2025 19:00:00",30.751462,76.762879,SO2,6,13,9
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","24-11-2025 19:00:00",30.719859,76.738637,NH3,21,24,22
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","24-11-2025 19:00:00",21.194815,81.314770,PM10,52,98,68
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","24-11-2025 19:00:00",21.194815,81.314770,NO2,21,113,54
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","24-11-2025 19:00:00",21.185571,81.343175,NO2,8,11,9
India,Bihar,Patna,"Muradpur, Patna - BSPCB","24-11-2025 19:00:00",25.619651,85.147382,CO,29,78,45
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","24-11-2025 19:00:00",25.599486,85.113666,PM2.5,75,188,140
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","24-11-2025 19:00:00",25.599486,85.113666,NH3,1,8,5
India,Bihar,Patna,"Samanpura, Patna - BSPCB","24-11-2025 19:00:00",25.596727,85.085624,OZONE,6,65,25
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","24-11-2025 19:00:00",25.366336,87.117468,SO2,11,25,16
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","24-11-2025 19:00:00",25.366336,87.117468,CO,39,88,57
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","24-11-2025 19:00:00",25.03280,85.41948,NO2,8,10,9
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","24-11-2025 19:00:00",21.224231,81.408350,PM10,NA,NA,NA
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","24-11-2025 19:00:00",22.08815,82.13737,PM2.5,49,108,83
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","24-11-2025 19:00:00",22.08815,82.13737,NO2,19,28,23
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","24-11-2025 19:00:00",22.368195,82.746431,PM10,72,86,85
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","24-11-2025 19:00:00",22.368195,82.746431,NH3,2,2,2
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","24-11-2025 19:00:00",22.348441,82.549611,PM2.5,54,72,55
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","24-11-2025 19:00:00",21.371751,81.664929,OZONE,3,8,4
India,Delhi,Delhi,"Alipur, Delhi - DPCC","24-11-2025 19:00:00",28.815329,77.153010,PM2.5,197,460,382
India,Delhi,Delhi,"Alipur, Delhi - DPCC","24-11-2025 19:00:00",28.815329,77.153010,NO2,31,131,82
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","24-11-2025 19:00:00",28.647622,77.3158090,PM10,193,500,389
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","24-11-2025 19:00:00",28.647622,77.3158090,SO2,11,81,48
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","24-11-2025 19:00:00",25.586562,85.043586,NH3,6,24,12
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","24-11-2025 19:00:00",25.592539,85.227158,CO,56,112,81
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","24-11-2025 19:00:00",25.610369,85.132568,PM2.5,NA,NA,NA
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","24-11-2025 19:00:00",25.610369,85.132568,NO2,NA,NA,NA
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","24-11-2025 19:00:00",25.610369,85.132568,OZONE,27,32,28
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","24-11-2025 19:00:00",25.859655,85.77944,PM10,36,118,85
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","24-11-2025 19:00:00",25.859655,85.77944,NO2,7,10,8
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","24-11-2025 19:00:00",24.952822,84.002396,PM10,109,299,161
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","24-11-2025 19:00:00",26.2271665,84.3570427,CO,86,127,121
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB","24-11-2025 19:00:00",22.1910172,83.5197009,PM2.5,NA,NA,NA
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","24-11-2025 19:00:00",21.258815,81.578979,OZONE,3,4,3
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB","24-11-2025 19:00:00",21.237755,81.705301,NO2,17,34,21
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","24-11-2025 19:00:00",28.567890,77.250515,CO,126,167,131
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","24-11-2025 19:00:00",28.6573814,77.1585447,CO,64,168,93
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","24-11-2025 19:00:00",28.530785,77.271255,SO2,13,19,16
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","24-11-2025 19:00:00",28.623763,77.287209,PM2.5,293,460,397
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","24-11-2025 19:00:00",28.623763,77.287209,NO2,56,215,131
